,shifted_resources_per_slot
0,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 10 10 10 10 15 20 22 22 23 34 34 46 48 49 54 59 63 70 70 74 74 74 77 78 78 79 81 82 82 82 82 82 82 82 82 82 72 72 72 72 67 62 60 60 59 48 48 36 34 33 28 23 19 12 12  8  8  8  5  4  4  3  1  0  0  0  0  0  0  0  0  0]
1,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6  6 15 18 28 28 29 29 31 34 40 40 44 50 52 63 66 70 70 70 71 71 72 72 72 72 72 75 75 75 75 75 75 75 75 75 69 69 60 57 47 47 46 46 44 41 35 35 31 25 23 12  9  5  5  5  4  4  3  3  3  3  3  0  0  0  0  0  0  0  0  0]
2,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 3 3 3 3 3 4 4 4 4 5 5 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 4 4 4 4 4 3 3 3 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
3,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 3 3 2 2 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
4,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  5 10 10 10 15 18 21 29 29 32 32 42 48 53 57 62 67 69 75 80 80 80 80 80 81 81 82 85 85 85 85 85 85 85 85 85 80 75 75 75 70 67 64 56 56 53 53 43 37 32 28 23 18 16 10  5  5  5  5  5  4  4  3  0  0  0  0  0  0  0  0  0]
5,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16 16 16 16 23 23 26 27 28 31 35 46 46 52 55 66 67 72 74 74 74 74 74 74 75 75 75 78 78 78 78 78 78 78 78 78 62 62 62 62 55 55 52 51 50 47 43 32 32 26 23 12 11  6  4  4  4  4  4  4  3  3  3  0  0  0  0  0  0  0  0  0]
6,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  9  9 10 10 19 19 21 28 28 28 36 48 49 51 55 62 62 62 64 68 69 72 72 72 72 72 74 74 74 74 74 74 74 74 74 74 65 65 64 64 55 55 53 46 46 46 38 26 25 23 19 12 12 12 10  6  5  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0]
7,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  8  8  8  8 14 18 18 18 20 30 31 40 44 44 50 52 58 64 65 68 69 69 72 72 72 73 76 76 76 76 76 76 76 76 76 76 68 68 68 68 62 58 58 58 56 46 45 36 32 32 26 24 18 12 11  8  7  7  4  4  4  3  0  0  0  0  0  0  0  0  0  0]
8,[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  7  7  9 12 12 28 28 28 31 31 40 43 43 43 60 60 65 66 66 66 67 67 71 71 71 71 71 71 71 71 71 71 71 71 71 71 64 64 62 59 59 43 43 43 40 40 31 28 28 28 11 11  6  5  5  5  4  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
9,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 3 3 3 3 4 4 4 4 4 5 5 5 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 5 5 5 5 4 4 4 4 3 3 3 3 3 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
